date,customer_id,product_category,quantity,price
2026-05-14,CUST-1048,Beauty,2,68.25
2026-05-14,CUST-1015,Home & Kitchen,3,121.17
2026-05-14,CUST-1143,Home & Kitchen,4,275.99
2026-05-14,CUST-1149,Books,5,23.00
2026-05-14,CUST-1032,Sports,4,285.39
2026-05-14,CUST-1001,Electronics,3,1073.17
2026-05-14,CUST-1055,Electronics,2,269.07
2026-05-14,CUST-1173,Books,2,11.38
2026-05-14,CUST-1006,Electronics,3,105.37
2026-05-15,CUST-1163,Sports,2,74.51
2026-05-15,CUST-1200,Clothing,1,63.71
2026-05-15,CUST-1004,Home & Kitchen,5,200.34
2026-05-15,CUST-1038,Books,1,30.98
2026-05-15,CUST-1108,Clothing,5,66.83
2026-05-15,CUST-1145,Beauty,4,68.38
2026-05-15,CUST-1062,Electronics,1,615.27
2026-05-16,CUST-1083,Beauty,4,50.63
2026-05-16,CUST-1061,Clothing,4,128.73
2026-05-16,CUST-1186,Home & Kitchen,4,140.76
2026-05-16,CUST-1070,Sports,2,146.54
2026-05-16,CUST-1148,Beauty,5,41.08
2026-05-16,CUST-1100,Electronics,3,1019.37
2026-05-16,CUST-1104,Electronics,1,509.25
2026-05-16,CUST-1029,Electronics,3,450.66
2026-05-16,CUST-1065,Home & Kitchen,5,206.59
2026-05-16,CUST-1194,Electronics,4,1317.16
2026-05-16,CUST-1036,Beauty,5,112.52
2026-05-16,CUST-1094,Beauty,4,100.24
2026-05-16,CUST-1200,Home & Kitchen,2,167.81
2026-05-16,CUST-1153,Clothing,2,134.10
2026-05-17,CUST-1134,Clothing,1,143.59
2026-05-17,CUST-1200,Books,5,34.68
2026-05-17,CUST-1081,Beauty,3,24.85
2026-05-17,CUST-1055,Sports,4,454.99
2026-05-17,CUST-1081,Clothing,4,135.08
2026-05-17,CUST-1083,Electronics,5,553.48
2026-05-17,CUST-1190,Books,2,33.68
2026-05-17,CUST-1014,Clothing,2,70.01
2026-05-17,CUST-1044,Electronics,5,1430.20
2026-05-18,CUST-1083,Home & Kitchen,3,173.25
2026-05-18,CUST-1169,Sports,5,331.15
2026-05-18,CUST-1085,Clothing,1,98.95
2026-05-18,CUST-1199,Sports,3,319.06
2026-05-18,CUST-1137,Clothing,4,112.74
2026-05-18,CUST-1081,Electronics,3,961.42
2026-05-18,CUST-1170,Sports,2,109.72
2026-05-18,CUST-1172,Clothing,2,113.65
2026-05-18,CUST-1126,Electronics,4,1072.56
2026-05-19,CUST-1184,Electronics,4,1052.96
2026-05-19,CUST-1066,Sports,5,249.83
2026-05-19,CUST-1184,Sports,3,461.44
2026-05-19,CUST-1165,Books,1,44.46
2026-05-19,CUST-1064,Electronics,3,546.88
2026-05-19,CUST-1002,Sports,2,486.91
2026-05-19,CUST-1098,Books,1,49.27
2026-05-19,CUST-1192,Home & Kitchen,2,253.22
2026-05-19,CUST-1049,Beauty,3,20.66
2026-05-20,CUST-1144,Sports,3,433.34
2026-05-20,CUST-1038,Electronics,3,649.41
2026-05-20,CUST-1073,Electronics,1,496.76
2026-05-20,CUST-1189,Electronics,2,830.00
2026-05-20,CUST-1046,Beauty,4,95.99
2026-05-21,CUST-1075,Clothing,3,122.39
2026-05-21,CUST-1066,Beauty,5,104.07
2026-05-21,CUST-1177,Beauty,1,75.87
2026-05-21,CUST-1063,Home & Kitchen,2,26.69
2026-05-21,CUST-1174,Electronics,3,481.96
2026-05-21,CUST-1024,Beauty,5,86.00
2026-05-21,CUST-1159,Clothing,3,113.38
2026-05-21,CUST-1066,Electronics,3,407.84
2026-05-22,CUST-1051,Books,5,14.11
2026-05-22,CUST-1121,Clothing,2,53.44
2026-05-22,CUST-1191,Home & Kitchen,2,90.26
2026-05-22,CUST-1158,Electronics,4,611.32
2026-05-23,CUST-1079,Home & Kitchen,4,90.36
2026-05-23,CUST-1100,Electronics,3,479.66
2026-05-23,CUST-1085,Electronics,2,142.06
2026-05-23,CUST-1116,Electronics,4,720.79
2026-05-23,CUST-1121,Clothing,1,88.98
2026-05-23,CUST-1081,Electronics,1,1143.93
2026-05-24,CUST-1129,Electronics,5,112.89
2026-05-24,CUST-1017,Electronics,3,163.76
2026-05-24,CUST-1116,Books,1,29.05
2026-05-24,CUST-1103,Beauty,1,24.24
2026-05-24,CUST-1123,Electronics,2,966.45
2026-05-24,CUST-1183,Electronics,2,1456.50
2026-05-24,CUST-1189,Beauty,2,71.97
2026-05-24,CUST-1064,Clothing,4,101.13
2026-05-24,CUST-1162,Clothing,5,62.10
2026-05-24,CUST-1141,Beauty,5,87.68
2026-05-25,CUST-1101,Books,5,33.81
2026-05-25,CUST-1166,Books,1,48.66
2026-05-25,CUST-1102,Clothing,3,61.61
2026-05-25,CUST-1101,Clothing,1,53.69
2026-05-25,CUST-1016,Books,4,47.40
2026-05-25,CUST-1082,Beauty,2,53.22
2026-05-26,CUST-1034,Beauty,3,101.47
2026-05-26,CUST-1088,Books,1,22.22
2026-05-26,CUST-1198,Books,2,34.35
2026-05-26,CUST-1051,Home & Kitchen,3,269.60
2026-05-26,CUST-1013,Books,5,41.70
2026-05-26,CUST-1118,Sports,3,43.18
2026-05-26,CUST-1175,Books,5,34.27
2026-05-26,CUST-1065,Beauty,5,88.49
2026-05-26,CUST-1184,Clothing,5,74.70
2026-05-27,CUST-1029,Beauty,2,108.18
2026-05-27,CUST-1051,Home & Kitchen,4,264.52
2026-05-27,CUST-1186,Electronics,3,778.33
2026-05-27,CUST-1052,Beauty,2,102.21
2026-05-27,CUST-1052,Sports,4,490.80
2026-05-27,CUST-1155,Books,1,46.01
2026-05-27,CUST-1059,Sports,3,339.29
2026-05-27,CUST-1113,Books,1,10.47
2026-05-27,CUST-1046,Books,1,25.92
2026-05-27,CUST-1159,Sports,2,496.85
2026-05-28,CUST-1084,Electronics,5,373.53
2026-05-28,CUST-1037,Books,4,12.82
